newTimes,utc,hour,minute,date
978,16:18,16,18,3/9/18
643,10:43,10,43,3/10/18
1099,18:19,18,19,3/11/18
594,09:54,9,54,3/12/18
1131,18:51,18,51,3/13/18
1259,20:59,20,59,3/14/18
761,12:41,12,41,3/15/18
531,08:51,8,51,3/16/18
1229,20:29,20,29,3/17/18
103,01:43,1,43,3/18/18
970,16:10,16,10,3/19/18
1215,20:15,20,15,3/20/18
233,03:53,3,53,3/21/18
1434,23:54,23,54,3/22/18
547,09:07,9,7,3/23/18
468,07:48,7,48,3/24/18
1422,23:42,23,42,3/25/18
245,04:05,4,5,3/26/18
226,03:46,3,46,3/27/18
869,14:29,14,29,3/28/18
75,01:15,1,15,3/29/18
620,10:20,10,20,3/30/18
1232,20:32,20,32,3/31/18
878,14:38,14,38,4/1/18
490,08:10,8,10,4/2/18
526,08:46,8,46,4/3/18
371,06:11,6,11,4/4/18
1248,20:48,20,48,4/5/18
984,16:24,16,24,4/6/18
118,01:58,1,58,4/7/18
974,16:14,16,14,4/8/18
517,08:37,8,37,4/9/18
754,12:34,12,34,4/10/18
555,09:15,9,15,4/11/18
424,07:04,7,4,4/12/18
797,13:17,13,17,4/13/18
189,03:09,3,9,4/14/18
428,07:08,7,8,4/15/18
485,08:05,8,5,4/16/18
635,10:35,10,35,4/17/18
1165,19:25,19,25,4/18/18
670,11:10,11,10,4/19/18
188,03:08,3,8,4/20/18
766,12:46,12,46,4/21/18
497,08:17,8,17,4/22/18
227,03:47,3,47,4/23/18
1064,17:44,17,44,4/24/18
1295,21:35,21,35,4/25/18
1254,20:54,20,54,4/26/18
579,09:39,9,39,4/27/18
459,07:39,7,39,4/28/18
729,12:09,12,9,4/29/18
868,14:28,14,28,4/30/18
534,08:54,8,54,5/1/18
1300,21:40,21,40,5/2/18
1344,22:24,22,24,5/3/18
1092,18:12,18,12,5/4/18
408,06:48,6,48,5/5/18
1106,18:26,18,26,5/6/18
917,15:17,15,17,5/7/18
329,05:29,5,29,5/8/18
1050,17:30,17,30,5/9/18
1301,21:41,21,41,5/10/18
320,05:20,5,20,5/11/18
271,04:31,4,31,5/12/18
894,14:54,14,54,5/13/18
540,09:00,9,0,5/14/18
753,12:33,12,33,5/15/18
666,11:06,11,6,5/16/18
413,06:53,6,53,5/17/18
933,15:33,15,33,5/18/18
1237,20:37,20,37,5/19/18
535,08:55,8,55,5/20/18
587,09:47,9,47,5/21/18
790,13:10,13,10,5/22/18
168,02:48,2,48,5/23/18
360,06:00,6,0,5/24/18
366,06:06,6,6,5/25/18
824,13:44,13,44,5/26/18
378,06:18,6,18,5/27/18
1283,21:23,21,23,5/28/18
1151,19:11,19,11,5/29/18
24,00:24,0,24,5/30/18
724,12:04,12,4,5/31/18
1382,23:02,23,2,6/1/18
695,11:35,11,35,6/2/18
37,00:37,0,37,6/3/18
775,12:55,12,55,6/4/18
851,14:11,14,11,6/5/18
956,15:56,15,56,6/6/18
452,07:32,7,32,6/7/18
1276,21:16,21,16,6/8/18
672,11:12,11,12,6/9/18
1429,23:49,23,49,6/10/18
1263,21:03,21,3,6/11/18
182,03:02,3,2,6/12/18
11,00:11,0,11,6/13/18
1057,17:37,17,37,6/14/18
1024,17:04,17,4,6/15/18
339,05:39,5,39,6/16/18
658,10:58,10,58,6/17/18
1431,23:51,23,51,6/18/18
84,01:24,1,24,6/19/18
1257,20:57,20,57,6/20/18
1223,20:23,20,23,6/21/18
174,02:54,2,54,6/22/18
1393,23:13,23,13,6/23/18
710,11:50,11,50,6/24/18
929,15:29,15,29,6/25/18
467,07:47,7,47,6/26/18
1381,23:01,23,1,6/27/18
255,04:15,4,15,6/28/18
190,03:10,3,10,6/29/18
1412,23:32,23,32,6/30/18
568,09:28,9,28,7/1/18
404,06:44,6,44,7/2/18
696,11:36,11,36,7/3/18
1145,19:05,19,5,7/4/18
1059,17:39,17,39,7/5/18
1246,20:46,20,46,7/6/18
981,16:21,16,21,7/7/18
241,04:01,4,1,7/8/18
1417,23:37,23,37,7/9/18
628,10:28,10,28,7/10/18
145,02:25,2,25,7/11/18
1163,19:23,19,23,7/12/18
78,01:18,1,18,7/13/18
141,02:21,2,21,7/14/18
1201,20:01,20,1,7/15/18
229,03:49,3,49,7/16/18
95,01:35,1,35,7/17/18
491,08:11,8,11,7/18/18
69,01:09,1,9,7/19/18
180,03:00,3,0,7/20/18
62,01:02,1,2,7/21/18
437,07:17,7,17,7/22/18
267,04:27,4,27,7/23/18
1152,19:12,19,12,7/24/18
992,16:32,16,32,7/25/18
386,06:26,6,26,7/26/18
151,02:31,2,31,7/27/18
705,11:45,11,45,7/28/18
260,04:20,4,20,7/29/18
463,07:43,7,43,7/30/18
502,08:22,8,22,7/31/18
442,07:22,7,22,8/1/18
64,01:04,1,4,8/2/18
313,05:13,5,13,8/3/18
586,09:46,9,46,8/4/18
72,01:12,1,12,8/5/18
692,11:32,11,32,8/6/18
1318,21:58,21,58,8/7/18
972,16:12,16,12,8/8/18
1097,18:17,18,17,8/9/18
65,01:05,1,5,8/10/18
210,03:30,3,30,8/11/18
506,08:26,8,26,8/12/18
489,08:09,8,9,8/13/18
895,14:55,14,55,8/14/18
801,13:21,13,21,8/15/18
632,10:32,10,32,8/16/18
1147,19:07,19,7,8/17/18
277,04:37,4,37,8/18/18
106,01:46,1,46,8/19/18
102,01:42,1,42,8/20/18
79,01:19,1,19,8/21/18
809,13:29,13,29,8/22/18
694,11:34,11,34,8/23/18
1264,21:04,21,4,8/24/18
871,14:31,14,31,8/25/18
1354,22:34,22,34,8/26/18
159,02:39,2,39,8/27/18
889,14:49,14,49,8/28/18
109,01:49,1,49,8/29/18
335,05:35,5,35,8/30/18
104,01:44,1,44,8/31/18
1329,22:09,22,9,9/1/18
247,04:07,4,7,9/2/18
209,03:29,3,29,9/3/18
936,15:36,15,36,9/4/18
873,14:33,14,33,9/5/18
925,15:25,15,25,9/6/18
943,15:43,15,43,9/7/18
246,04:06,4,6,9/8/18
12,00:12,0,12,9/9/18
447,07:27,7,27,9/10/18
1210,20:10,20,10,9/11/18
1273,21:13,21,13,9/12/18
195,03:15,3,15,9/13/18
208,03:28,3,28,9/14/18
537,08:57,8,57,9/15/18
1026,17:06,17,6,9/16/18
105,01:45,1,45,9/17/18
1430,23:50,23,50,9/18/18
883,14:43,14,43,9/19/18
1207,20:07,20,7,9/20/18
558,09:18,9,18,9/21/18
1094,18:14,18,14,9/22/18
575,09:35,9,35,9/23/18
1330,22:10,22,10,9/24/18
979,16:19,16,19,9/25/18
1289,21:29,21,29,9/26/18
146,02:26,2,26,9/27/18
722,12:02,12,2,9/28/18
1294,21:34,21,34,9/29/18
1162,19:22,19,22,9/30/18
957,15:57,15,57,10/1/18
1231,20:31,20,31,10/2/18
421,07:01,7,1,10/3/18
451,07:31,7,31,10/4/18
348,05:48,5,48,10/5/18
1093,18:13,18,13,10/6/18
777,12:57,12,57,10/7/18
235,03:55,3,55,10/8/18
1397,23:17,23,17,10/9/18
927,15:27,15,27,10/10/18
471,07:51,7,51,10/11/18
1205,20:05,20,5,10/12/18
707,11:47,11,47,10/13/18
631,10:31,10,31,10/14/18
370,06:10,6,10,10/15/18
362,06:02,6,2,10/16/18
1189,19:49,19,49,10/17/18
309,05:09,5,9,10/18/18
1309,21:49,21,49,10/19/18
1149,19:09,19,9,10/20/18
1017,16:57,16,57,10/21/18
561,09:21,9,21,10/22/18
63,01:03,1,3,10/23/18
165,02:45,2,45,10/24/18
450,07:30,7,30,10/25/18
1327,22:07,22,7,10/26/18
557,09:17,9,17,10/27/18
171,02:51,2,51,10/28/18
205,03:25,3,25,10/29/18
1042,17:22,17,22,10/30/18
1287,21:27,21,27,10/31/18
315,05:15,5,15,11/1/18
1179,19:39,19,39,11/2/18
967,16:07,16,7,11/3/18
980,16:20,16,20,11/4/18
216,03:36,3,36,11/5/18
223,03:43,3,43,11/6/18
292,04:52,4,52,11/7/18
330,05:30,5,30,11/8/18
263,04:23,4,23,11/9/18
538,08:58,8,58,11/10/18
1364,22:44,22,44,11/11/18
727,12:07,12,7,11/12/18
721,12:01,12,1,11/13/18
270,04:30,4,30,11/14/18
678,11:18,11,18,11/15/18
477,07:57,7,57,11/16/18
464,07:44,7,44,11/17/18
136,02:16,2,16,11/18/18
201,03:21,3,21,11/19/18
160,02:40,2,40,11/20/18
612,10:12,10,12,11/21/18
74,01:14,1,14,11/22/18
101,01:41,1,41,11/23/18
1108,18:28,18,28,11/24/18
1140,19:00,19,0,11/25/18
862,14:22,14,22,11/26/18
39,00:39,0,39,11/27/18
765,12:45,12,45,11/28/18
1176,19:36,19,36,11/29/18
1424,23:44,23,44,11/30/18
1005,16:45,16,45,12/1/18
117,01:57,1,57,12/2/18
41,00:41,0,41,12/3/18
133,02:13,2,13,12/4/18
1407,23:27,23,27,12/5/18
1103,18:23,18,23,12/6/18
756,12:36,12,36,12/7/18
533,08:53,8,53,12/8/18
762,12:42,12,42,12/9/18
1411,23:31,23,31,12/10/18
1077,17:57,17,57,12/11/18
326,05:26,5,26,12/12/18
1331,22:11,22,11,12/13/18
441,07:21,7,21,12/14/18
1238,20:38,20,38,12/15/18
1066,17:46,17,46,12/16/18
1357,22:37,22,37,12/17/18
278,04:38,4,38,12/18/18
948,15:48,15,48,12/19/18
423,07:03,7,3,12/20/18
580,09:40,9,40,12/21/18
1040,17:20,17,20,12/22/18
504,08:24,8,24,12/23/18
1224,20:24,20,24,12/24/18
541,09:01,9,1,12/25/18
1256,20:56,20,56,12/26/18
900,15:00,15,0,12/27/18
1261,21:01,21,1,12/28/18
922,15:22,15,22,12/29/18
519,08:39,8,39,12/30/18
912,15:12,15,12,12/31/18
788,13:08,13,8,1/1/19
968,16:08,16,8,1/2/19
1233,20:33,20,33,1/3/19
461,07:41,7,41,1/4/19
436,07:16,7,16,1/5/19
1386,23:06,23,6,1/6/19
1041,17:21,17,21,1/7/19
399,06:39,6,39,1/8/19
1069,17:49,17,49,1/9/19
304,05:04,5,4,1/10/19
772,12:52,12,52,1/11/19
331,05:31,5,31,1/12/19
460,07:40,7,40,1/13/19
950,15:50,15,50,1/14/19
1303,21:43,21,43,1/15/19
389,06:29,6,29,1/16/19
1433,23:53,23,53,1/17/19
1361,22:41,22,41,1/18/19
942,15:42,15,42,1/19/19
1438,23:58,23,58,1/20/19
122,02:02,2,2,1/21/19
1161,19:21,19,21,1/22/19
1414,23:34,23,34,1/23/19
1025,17:05,17,5,1/24/19
1211,20:11,20,11,1/25/19
505,08:25,8,25,1/26/19
683,11:23,11,23,1/27/19
1302,21:42,21,42,1/28/19
1285,21:25,21,25,1/29/19
1406,23:26,23,26,1/30/19
186,03:06,3,6,1/31/19
825,13:45,13,45,2/1/19
458,07:38,7,38,2/2/19
344,05:44,5,44,2/3/19
266,04:26,4,26,2/4/19
1298,21:38,21,38,2/5/19
605,10:05,10,5,2/6/19
401,06:41,6,41,2/7/19
773,12:53,12,53,2/8/19
449,07:29,7,29,2/9/19
156,02:36,2,36,2/10/19
429,07:09,7,9,2/11/19
480,08:00,8,0,2/12/19
901,15:01,15,1,2/13/19
487,08:07,8,7,2/14/19
776,12:56,12,56,2/15/19
975,16:15,16,15,2/16/19
949,15:49,15,49,2/17/19
617,10:17,10,17,2/18/19
841,14:01,14,1,2/19/19
311,05:11,5,11,2/20/19
199,03:19,3,19,2/21/19
805,13:25,13,25,2/22/19
1007,16:47,16,47,2/23/19
253,04:13,4,13,2/24/19
893,14:53,14,53,2/25/19
714,11:54,11,54,2/26/19
287,04:47,4,47,2/27/19
1374,22:54,22,54,2/28/19
600,10:00,10,0,3/1/19
154,02:34,2,34,3/2/19
734,12:14,12,14,3/3/19
1391,23:11,23,11,3/4/19
1402,23:22,23,22,3/5/19
376,06:16,6,16,3/6/19
844,14:04,14,4,3/7/19
864,14:24,14,24,3/8/19
897,14:57,14,57,3/9/19
1158,19:18,19,18,3/10/19
268,04:28,4,28,3/11/19
385,06:25,6,25,3/12/19
1120,18:40,18,40,3/13/19
1274,21:14,21,14,3/14/19
181,03:01,3,1,3/15/19
751,12:31,12,31,3/16/19
1313,21:53,21,53,3/17/19
1113,18:33,18,33,3/18/19
398,06:38,6,38,3/19/19
911,15:11,15,11,3/20/19
567,09:27,9,27,3/21/19
